S_1_1	aB	4_1
S_4_1	aBcdefgJ	12a0304
S_4_1	aBcdEFGJ	12a0305
S_4_1	abAcBdCdedFEGJ	12a0316
S_4_1	abAcBdCdEFGJ	12a0318
S_4_1	abcDCEjeDfEg	12a0328
S_4_1	abAbCDefgj	12a0331
S_4_1	abcdEDCGjeDF	12a0333
S_4_1	abAbCdEDGjeF	12a0334
S_4_1	abcBcdedFEDGHJ	12a0351
S_4_1	abcDCeDfEDgj	12a0358
S_4_1	abcdEDCjeDfEGF	12a0359
S_4_1	abcdCedFEghj	12a0373
S_4_1	aBcDCedfEGHj	12a0374
S_4_1	abCdedFEGJ	12a0377
S_4_1	aBcDCeDFEgIJ	12a0382
S_4_1	abcDCeDFEgHJ	12a0383
S_4_1	abAbcDCedFEGHj	12a0396
S_4_1	abcDCeDfgj	12a0398
S_4_1	abcDCeDFgjEf	12a0402
S_4_1	abcDCedFGjEf	12a0413
S_4_1	abAcBdCedfJEFG	12a0415
S_4_1	abCBdCeDGjEF	12a0416
S_4_1	abAcbdCeDfEDGj	12a0418
S_4_1	abCdEFGJ	12a0436
S_4_1	abcDCedfEGHj	12a0445
S_4_1	abCdeDfEgJ	12a0446
S_4_1	abcdCeDFEgHJ	12a0453
S_4_1	abCBdCeDfEgJ	12a0456
S_4_1	abCBdCEFgjeDfe	12a0457
S_4_1	abAcbdCeeDFEGJ	12a0464
S_4_1	abcBdCeDfjEFgF	12a0468
S_4_1	abCDEdFgJEff	12a0469
S_4_1	abcBdceFEDgfEJ	12a0470
S_4_1	aBcdEDCGjEdjeF	12a0473
S_4_1	abAcbdCeDgjEEf	12a0476
S_4_1	abCBdceDfGjeFG	12a0478
S_4_1	abbcDCBeDcFEgJ	12a0479
S_4_1	abccDCedFEgJ	12a0480
S_4_1	abCBdCedfEDCgj	12a0485
S_4_1	aBcdCeDfGFEJef	12a0486
S_4_1	abAbcbDCedFEgJ	12a0487
S_4_1	abcdCeDfEEGj	12a0488
S_4_1	abcdCeDfEgHGGj	12a0493
S_4_1	abCDEfgH	12a0497
S_4_1	abCDefgH	12a0498
S_4_1	abCDefGH	12a0499
S_4_1	aBCdefgH	12a0500
S_4_1	abcDEfgH	12a0501
S_4_1	abAbCDEFGh	12a0503
S_4_1	abAbCDEfgh	12a0505
