manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
12n0628,S_3_1,abCdCEDGhcBcH,5.4440157551,"[1, -7, 10, -9, 2, 9, 2, -9, 10, -7, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0629,S_3_1,aabAcbDCEh,2.80693343489,"[1, -1, -3, -4, -4, -1, -4, -4, -3, -1, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0630,S_3_1,abacGHCBDCEdC,3.05776906141,"[1, -3, 0, -2, 6, -5, 2, -5, 6, -2, 0, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0631,S_3_1,abAcbgHCBDCeD,4.27677254169,"[1, -4, -1, -1, 0, 4, 0, -1, -1, -4, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0634,S_3_1,abAcbdceDCCGh,3.95614497298,"[1, -4, -1, 4, 3, -2, 1, -2, 3, 4, -1, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0636,S_3_1,abCBdcEGh,4.73951733081,"[1, -6, 6, -1, 6, -10, 6, -1, 6, -6, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0660,S_3_1,abacbdCehCdE,5.69746674474,"[1, -4, -9, -4, 1]",[10],[10],True,True
12n0672,S_3_1,abAbcDEhCh,4.07133817646,"[1, -4, 0, -1, -3, 10, -3, -1, 0, -4, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0690,S_3_1,abcBGhcdEd,5.14518509532,"[1, -4, -6, -1, 6, 8, 10, 8, 6, -1, -6, -4, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
12n0705,S_3_1,abcBdcEDCGh,5.57868693211,"[1, -7, 9, -10, 24, -10, 9, -7, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0717,S_3_1,abacDcBEDCGHcd,3.35812013629,"[1, -3, -3, 7, -2, -6, 8, -6, -2, 7, -3, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0719,S_3_1,abaccBDCEGHcdE,3.44936806699,"[1, -4, 1, 4, -3, 0, -1, 0, -3, 4, 1, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0730,S_3_1,abbcbdccdeGh,3.20398040194,"[1, -2, -4, 0, 3, -2, -9, -2, 3, 0, -4, -2, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
12n0732,S_3_1,abcBDeHCdEg,5.20003806089,"[1, -7, 10, -5, 10, -7, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0745,S_3_1,abCdCBhcDE,6.37906797739,"[1, -9, 21, -33, 41, -33, 21, -9, 1]","[3, 3, 3, 7]",[7],True,False
12n0749,S_3_1,abcbdccceGh,1.86406000754,"[1, -1, -2, 0, 2, 0, -2, -1, 1]","[1, 3, 3, 3, 3, 3, 4, 4]",[1],True,False
12n0755,S_3_1,abAcbdcBGHCDe,6.57939707237,"[1, -9, 16, 2, -17, 2, 16, -9, 1]","[3, 3, 3, 3, 6]",[6],True,False
