manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
v0521,S_3_1,abcbdceGh,1.66104776199,"[1, -2, 1, -1, 1, -1, 1, -2, 1]","[1, 5, 5, 5]",[1],True,False
v0543,S_3_1,abcdCeDfEGedch,1.78164359861,"[1, -1, -1, 0, -1, -1, 1]",[10],[10],True,True
v0592,S_3_1,aabacbdcedcfh,1.50613567955,"[1, -1, 0, -1, 0, -1, 1]","[4, 5, 5]",[5],True,False
v0595,S_3_1,aabacbdcEGh,1.55603019132,"[1, -1, -1, 1, -1, -1, 1]","[1, 11]",[1],True,False
v0734,S_3_1,abacbdcbedcfh,1.58234718368,"[1, 0, -1, -2, -1, 0, 1]","[5, 7]",[7],True,False
v0789,S_3_1,abacbdcedgefh,1.50613567955,"[1, -1, 0, -1, 0, -1, 1]","[4, 5, 5]",[4],True,False
v0957,S_3_1,abacbdcEFGh,1.58234718368,"[1, 0, -1, -2, -1, 0, 1]","[5, 7]",[5],True,False
v1148,S_3_1,abcDEGGhChcdEF,1.72208380574,"[1, -1, -1, -1, 1]","[3, 3, 4, 4, 4]",[4],True,False
v1154,S_3_1,aaabcbdef,2.08101899662,"[1, -1, -2, -1, 1]",[10],[10],True,True
v1171,S_3_1,aaabacbdcbeh,1.63557312992,"[1, -2, 2, -3, 2, -2, 1]","[3, 3, 4, 6]",[6],True,False
v1207,S_3_1,aabcdEGh,1.58234718368,"[1, 0, -1, -2, -1, 0, 1]","[1, 3, 3, 3, 3, 7]",[1],True,False
v1302,S_3_1,aabcdeF,2.08101899662,"[1, -1, -2, -1, 1]","[2, 10]",[2],True,True
v1638,S_3_1,abbcbdcef,1.67113521958,"[1, -1, 1, -4, 1, -1, 1]","[3, 3, 8]",[8],True,False
v1743,S_3_1,abcbdcBedcgefh,1.8310758251,"[1, -2, 0, 1, 0, -2, 1]","[5, 7]",[7],True,False
v2063,S_3_1,abcbdcedcggh,1.8310758251,"[1, -2, 0, 1, 0, -2, 1]","[5, 7]",[5],True,False
v2093,S_3_1,aabcbdceh,1.78164359861,"[1, -1, -1, 0, -1, -1, 1]","[5, 7]",[7],True,False
v2100,S_3_1,aabaabcbdceh,1.72208380574,"[1, -1, -1, -1, 1]","[4, 4, 6]",[6],True,False
v2166,S_3_1,abcbdCeh,1.98779316685,"[1, 0, -2, -3, -2, 0, 1]",[10],[10],True,True
v2211,S_3_1,abcbdceefgedch,1.63557312992,"[1, -2, 2, -3, 2, -2, 1]","[3, 4, 4, 5]",[5],True,False
v2263,S_3_1,abcbdceeggedch,1.63557312992,"[1, -2, 2, -3, 2, -2, 1]","[3, 4, 4, 5]",[4],True,False
v2296,S_3_1,aaaabcdef,2.9888245874,"[1, -2, -2, -2, -2, -2, 1]",[10],[10],True,True
v2334,S_3_1,aaabaabbcbdcef,1.6109417831,"[1, -1, 0, -2, 2, -2, 0, -1, 1]","[3, 3, 3, 3, 6]",[6],True,False
v2406,S_3_1,abcBdcegh,1.94685626827,"[1, -1, -1, -1, -1, -1, 1]","[4, 8]",[8],True,True
v2460,S_3_1,aaabacbdceh,1.87367070058,"[1, 0, -2, -2, 0, -2, -2, 0, 1]","[3, 3, 3, 7]",[7],True,False
v2463,S_3_1,abcbdeefgedcfh,1.63557312992,"[1, -2, 2, -3, 2, -2, 1]","[3, 4, 4, 5]",[4],True,False
v2474,S_3_1,abAcbdcbghcde,1.72208380574,"[1, -1, -1, -1, 1]","[3, 3, 5, 5]",[5],True,False
v2508,S_3_1,abcbdcEGh,1.55603019132,"[1, -1, -1, 1, -1, -1, 1]","[1, 3, 3, 3, 4, 4, 4]",[1],True,False
v2547,S_3_1,aaBCDEF,3.01078364019,"[1, -4, 4, -4, 4, -4, 1]","[2, 6, 6]",[2],True,True
v2623,S_3_1,abcdEh,2.22586791398,"[1, -3, 2, -1, 2, -3, 1]","[2, 4, 4, 4, 4]",[2],True,True
v2771,S_3_1,abacbbGhcbdced,1.68026100851,"[1, -1, 0, -2, 0, 1, -1, 0, -1, 1, 0, -2, 0, -1, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
v2815,S_3_1,abacbbfhcbdced,1.58234718368,"[1, 0, -1, -2, -1, 0, 1]","[2, 4, 4, 4, 4]",[2],True,True
v2834,S_3_1,aabcbdcbeh,1.91649826367,"[1, -1, -1, -1, 0, -1, -1, -1, 1]","[3, 3, 3, 7]",[7],True,False
v3024,S_3_1,abacbdcEEGh,1.72208380574,"[1, -1, -1, -1, 1]","[1, 4, 4, 4, 5]",[1],True,False
v3044,S_3_1,abacbdceeGh,1.8288705363,"[1, -1, 0, -2, 0, -1, -2, -1, 0, -2, 0, -1, 1]","[1, 3, 3, 3, 3, 3, 3, 5]",[1],True,False
v3195,S_3_1,abcdEGhh,1.66104776199,"[1, -2, 1, -1, 1, -1, 1, -2, 1]","[1, 5, 5, 5]",[1],True,False
v3208,S_3_1,aabcdceh,2.08101899662,"[1, -1, -2, -1, 1]",[10],[10],True,True
v3304,S_3_1,abcBdceDgeh,1.88320350591,"[1, -2, 1, -2, 1]","[3, 3, 8]",[8],True,False
v3320,S_3_1,abcddEGh,1.68648159025,"[1, -2, 1, 0, -2, 2, -2, 2, -2, 0, 1, -2, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
v3327,S_3_1,aaabcdeh,2.45963365089,"[1, -1, -2, -3, -2, -1, 1]",[10],[10],True,True
v3409,S_3_1,abcbdcEDFEGGhh,2.04249053394,"[1, -3, 3, -3, 3, -3, 1]","[3, 3, 8]",[8],True,False
v3418,S_3_1,abbcbdceh,1.78164359861,"[1, -1, -1, 0, -1, -1, 1]","[3, 3, 3, 7]",[7],True,False
m147,S_4_1,aabcdefgj,1.45798747965,"[1, 0, -1, -1, 0, -1, -1, 0, 1]",[14],[14],True,True
m150,S_4_1,abcdefgij,1.28063815627,"[1, 0, 0, -1, -1, -1, 0, 0, 1]","[4, 12]",[12],True,True
